uid,id,source,rank,game
556,28,"16. That's Pretty Clever!","16","That's Pretty Clever!"
557,28,"17. Skulls of Sedlec","17","Skulls of Sedlec"
558,28,"18. King of Tokyo","18","King of Tokyo"
559,28,"19. Age of War","19","Age of War"
560,28,"20. Air, Land, & Sea","20","Air, Land, & Sea"
561,29,"1. Chess","1","Chess"
562,29,"2. War of the Rings","2","War of the Rings"
563,29,"3. Hanamikoji","3","Hanamikoji"
564,29,"4. Twilight Struggle","4","Twilight Struggle"
565,29,"5. Combat Commander Europe","5","Combat Commander Europe"
566,29,"6. 7 Wonders Duel","6","7 Wonders Duel"
567,29,"7. Through the ages","7","Through the ages"
568,29,"8. Paladins of the West Kingdom","8","Paladins of the West Kingdom"
569,29,"9. On Mars","9","On Mars"
570,29,"10. Terraforming Mars","10","Terraforming Mars"
571,29,"11. Undaunted Normandy","11","Undaunted Normandy"
572,29,"12. The Battle of Versailles","12","The Battle of Versailles"
573,29,"13. Sky Team","13","Sky Team"
574,29,"14. Race for the Galaxy","14","Race for the Galaxy"
575,29,"15. Hive","15","Hive"
576,29,"16. Android: Netrunner","16","Android: Netrunner"
577,29,"17. Splendor Duel","17","Splendor Duel"
578,29,"18. Beer & Bread","18","Beer & Bread"
579,29,"19. The Quest for El Dorado","19","The Quest for El Dorado"
580,29,"20. Lost Cities","20","Lost Cities"
581,30,"1. Pax Renaissance","1","Pax Renaissance"
582,30,"2. Crokinole","2","Crokinole"
583,30,"3. Imperial Struggle","3","Imperial Struggle"
584,30,"4. Twilight Struggle","4","Twilight Struggle"
585,30,"5. Frosthaven","5","Frosthaven"
586,30,"6. On Mars","6","On Mars"
587,30,"7. Air, Land, & Sea","7","Air, Land, & Sea"
588,30,"8. Space Empires 4X","8","Space Empires 4X"
589,30,"9. Scrabble","9","Scrabble"
590,30,"10. Renature","10","Renature"
591,30,"11. Fields of Arle","11","Fields of Arle"
592,30,"12. Go","12","Go"
593,30,"13. Letterpress","13","Letterpress"
594,30,"14. Patchwork","14","Patchwork"
595,30,"15. KeyForge","15","KeyForge"
596,30,"16. Grand Austria Hotel","16","Grand Austria Hotel"
597,30,"17. The Castles of Burgundy","17","The Castles of Burgundy"
598,30,"18. Cribbage","18","Cribbage"
599,30,"19. The Lord of the Rings: Journeys in Middle-earth","19","The Lord of the Rings: Journeys in Middle-earth"
600,30,"20. Scarabya","20","Scarabya"
601,31,"1. Rise of Tribes","1","Rise of Tribes"
602,31,"2. Next Station: London","2","Next Station: London"
603,31,"3. Sobek: 2 Players","3","Sobek: 2 Players"
604,31,"4. Siam","4","Siam"
605,31,"5. Cascadia","5","Cascadia"
606,31,"6. Burgle Bros","6","Burgle Bros"
607,31,"7. Word Hustle","7","Word Hustle"
608,31,"8. Sky Team","8","Sky Team"
609,31,"9. Silver Bullet","9","Silver Bullet"
610,31,"10. Targi","10","Targi"
611,31,"11. Santorini","11","Santorini"
612,31,"12. Conspiracy: Abyss Universe","12","Conspiracy: Abyss Universe"
613,31,"13. Clever 4Ever","13","Clever 4Ever"
614,31,"14. Star Realms","14","Star Realms"
615,31,"15. Floriferous","15","Floriferous"
616,31,"16. Race for the Galaxy","16","Race for the Galaxy"
617,31,"17. Onitama","17","Onitama"
618,31,"18. Schotten Totten","18","Schotten Totten"
619,31,"19. SteamRollers","19","SteamRollers"
620,31,"20. Kingdomino","20","Kingdomino"
621,32,"1. Lost Ruina of Arnak","1","Lost Ruina of Arnak"
622,32,"2. The Castles of Burgundy","2","The Castles of Burgundy"
623,32,"3. The Crew","3","The Crew"
624,32,"4. Sky Team","4","Sky Team"
625,32,"5. Wingspan","5","Wingspan"
626,32,"6. Sagrada","6","Sagrada"
627,32,"7. The Isle of Cats","7","The Isle of Cats"
628,32,"8. Twilight Struggle","8","Twilight Struggle"
629,32,"9. Piepmatz","9","Piepmatz"
630,32,"10. Dragon Castle","10","Dragon Castle"
631,32,".",".","."
632,32,".",".","."
633,32,".",".","."
634,32,".",".","."
635,32,".",".","."
636,32,".",".","."
637,32,".",".","."
638,32,".",".","."
639,32,".",".","."
640,32,".",".","."
641,33,"1. Flamme Rouge","1","Flamme Rouge"
642,33,"2. Keyflower","2","Keyflower"
643,33,"3. Lord of the Rings: The Card Game","3","Lord of the Rings: The Card Game"
644,33,"4. Innovation","4","Innovation"
645,33,"5. The Mind","5","The Mind"
646,33,"6. MicroMacro: Crime City","6","MicroMacro: Crime City"
647,33,"7. Whitehall Mystery","7","Whitehall Mystery"
648,33,"8. Ticket to Ride","8","Ticket to Ride"
649,33,"9. Harry Potter: Hogwarts Battle – Defence Against the Dark Arts","9","Harry Potter: Hogwarts Battle – Defence Against the Dark Arts"
650,33,"10. Men at Work","10","Men at Work"
651,33,"11. Patchwork","11","Patchwork"
652,33,"12. Near and Far","12","Near and Far"
653,33,"13. Stardew Valley","13","Stardew Valley"
654,33,"14. Harry Potter: Hogwarts Battle","14","Harry Potter: Hogwarts Battle"
655,33,"15. Wingspan","15","Wingspan"
656,33,"16. SET (1988)","16","SET (1988)"
657,33,"17. Lost Cities","17","Lost Cities"
658,33,"18. Eldritch Horror","18","Eldritch Horror"
659,33,"19. The Search for Planet X","19","The Search for Planet X"
660,33,"20. Robinson Crusoe: Adventures on the Cursed Island","20","Robinson Crusoe: Adventures on the Cursed Island"
661,34,"1. Ark Nova","1","Ark Nova"
662,34,"2. Lewis & Clark: The Expedition","2","Lewis & Clark: The Expedition"
663,34,"3. Seasons","3","Seasons"
664,34,"4. Gaia Project","4","Gaia Project"
665,34,"5. Azul: Queen's Garden","5","Azul: Queen's Garden"
666,34,"6. The Oracle of Delphi","6","The Oracle of Delphi"
667,34,"7. Rajas of the Ganges","7","Rajas of the Ganges"
668,34,"8. Sobek","8","Sobek"
669,34,"9. Targi","9","Targi"
670,34,"10. Dale of Merchants","10","Dale of Merchants"
671,34,"11. Calico","11","Calico"
672,34,"12. Marvel Champions: The Card Game","12","Marvel Champions: The Card Game"
673,34,"13. 10' to Kill","13","10' to Kill"
674,34,"14. BOO","14","BOO"
675,34,"15. Agricola: All Creatures Big and Small","15","Agricola: All Creatures Big and Small"
676,34,"16. Le Havre: The Inland Port","16","Le Havre: The Inland Port"
677,34,"17. NUT","17","NUT"
678,34,"18. Nanga Parbat","18","Nanga Parbat"
679,34,"19. Circle the Wagons","19","Circle the Wagons"
680,34,"20. Claim","20","Claim"
681,35,"1. The Quest for El Dorado","1","The Quest for El Dorado"
682,35,"2. The Castles of Burgundy","2","The Castles of Burgundy"
683,35,"3. Kingdom Builder","3","Kingdom Builder"
684,35,"4. Battle Line","4","Battle Line"
685,35,"5. Jump Drive","5","Jump Drive"
686,35,"6. Babylonia","6","Babylonia"
687,35,"7. Qin","7","Qin"
688,35,"8. Alhambra","8","Alhambra"
689,35,"9. Ingenious","9","Ingenious"
690,35,"10. Splendor","10","Splendor"
691,35,"11. Framework","11","Framework"
692,35,"12. Whale Riders","12","Whale Riders"
693,35,"13. Jaipur","13","Jaipur"
694,35,"14. Ticket to Ride","14","Ticket to Ride"
695,35,"15. Keltis: Das Kartenspiel","15","Keltis: Das Kartenspiel"
696,35,"16. Lost Cities","16","Lost Cities"
697,35,"17. Watergate","17","Watergate"
698,35,"18. Codenames: Duet","18","Codenames: Duet"
699,35,"19. Pandemic","19","Pandemic"
700,35,"20. Cribbage","20","Cribbage"
701,36,"1. Ark Nova","1","Ark Nova"
702,36,"2. Imperial Settlers","2","Imperial Settlers"
703,36,"3. Dominion","3","Dominion"
704,36,"4. Butterfly","4","Butterfly"
705,36,"5. Obsession","5","Obsession"
706,36,"6. Gizmos","6","Gizmos"
707,36,"7. Once Upon a Time: The Story Telling Card Game","7","Once Upon a Time: The Story Telling Card Game"
708,36,"8. Hanamikoji","8","Hanamikoji"
709,36,"9. Carcassonne","9","Carcassonne"
710,36,"10. Star Realms","10","Star Realms"
711,36,"11. Kingdomino","11","Kingdomino"
712,36,"12. Wingspan","12","Wingspan"
713,36,"13. Seasons","13","Seasons"
714,36,"14. Lost Ruins Of Arnak","14","Lost Ruins Of Arnak"
715,36,"15. Century Spice Road","15","Century Spice Road"
716,36,"16. Schottentotten","16","Schottentotten"
717,36,"17. Cacao","17","Cacao"
718,36,"18. Artifacts Inc.","18","Artifacts Inc."
719,36,"19. Magic: The Gathering","19","Magic: The Gathering"
720,36,"20. Sagrada","20","Sagrada"
721,37,"1. Fantasy Realms","1","Fantasy Realms"
722,37,"2. Akropolis","2","Akropolis"
723,37,"3. That's Pretty Clever!","3","That's Pretty Clever!"
724,37,"4. Splendor","4","Splendor"
725,37,"5. Roll Player","5","Roll Player"
726,37,"6. Creature Comforts","6","Creature Comforts"
727,37,"7. Chicken!","7","Chicken!"
728,37,"8. The Castles of Burgundy: Special Edition","8","The Castles of Burgundy: Special Edition"
729,37,"9. Battle Sheep","9","Battle Sheep"
730,37,"10. Everdell","10","Everdell"
731,37,"11. Azul","11","Azul"
732,37,"12. Spirits of the Wild","12","Spirits of the Wild"
733,37,"13. Love Letter: Adventure Time","13","Love Letter: Adventure Time"
734,37,"14. Santorini","14","Santorini"
735,37,"15. Three Sisters","15","Three Sisters"
736,37,"16. Suburbia","16","Suburbia"
737,37,"17. Trekking Through History","17","Trekking Through History"
738,37,"18. Ticket to Ride: Europe","18","Ticket to Ride: Europe"
739,37,"19. Turing Machine","19","Turing Machine"
740,37,"20. Cascadia","20","Cascadia"
741,38,"1. The Castles of Burgundy","1","The Castles of Burgundy"
742,38,"2. Wingspan","2","Wingspan"
743,38,"3. My City","3","My City"
744,38,"4. Great Western Trail","4","Great Western Trail"
745,38,"5. Twilight Struggle","5","Twilight Struggle"
746,38,"6. Carpe Diem","6","Carpe Diem"
747,38,"7. Catan Card Game","7","Catan Card Game"
748,38,"8. Planet Unknown","8","Planet Unknown"
749,38,"9. Biblios","9","Biblios"
750,38,"10. Azul","10","Azul"
751,38,"11. Sagrada","11","Sagrada"
752,38,"12. Pandemic Legacy: Season 2","12","Pandemic Legacy: Season 2"
753,38,"13. Terraforming Mars: The Dice Game","13","Terraforming Mars: The Dice Game"
754,38,"14. At the Gates of Loyang","14","At the Gates of Loyang"
755,38,"15. Jaipur","15","Jaipur"
756,38,"16. Lost Cities","16","Lost Cities"
757,38,"17. Qwixx","17","Qwixx"
758,38,"18. Machi Koro","18","Machi Koro"
759,38,"19. Patchwork","19","Patchwork"
760,38,"20. Kingdomino","20","Kingdomino"
761,39,"1. Inis","1","Inis"
762,39,"2. Splendor Duel","2","Splendor Duel"
763,39,"3. Azul: Stained Glass Of Sintra","3","Azul: Stained Glass Of Sintra"
764,39,"4. Tellstones: King's Gambit","4","Tellstones: King's Gambit"
765,39,"5. Fort","5","Fort"
766,39,"6. Azul","6","Azul"
767,39,"7. War Chest","7","War Chest"
768,39,"8. Carcassonne","8","Carcassonne"
769,39,"9. Rise","9","Rise"
770,39,"10. Portals (2023)","10","Portals (2023)"
771,39,"11. Spots","11","Spots"
772,39,"12. Patchwork","12","Patchwork"
773,39,"13. Santorini","13","Santorini"
774,39,"14. Star Realms","14","Star Realms"
775,39,"15. Nova Luna","15","Nova Luna"
776,39,"16. Sea Salt & Paper","16","Sea Salt & Paper"
777,39,".",".","."
778,39,".",".","."
779,39,".",".","."
780,39,".",".","."
781,40,"1. Spirit Island","1","Spirit Island"
782,40,"2. Patchwork","2","Patchwork"
783,40,"3. That's Pretty Clever!","3","That's Pretty Clever!"
784,40,"4. Kingdomino","4","Kingdomino"
785,40,"5. Agricola: All Creatures Big and Small","5","Agricola: All Creatures Big and Small"
786,40,"6. The Quest for El Dorado","6","The Quest for El Dorado"
787,40,"7. Akrotiri","7","Akrotiri"
788,40,"8. Splendor Duel","8","Splendor Duel"
789,40,".",".","."
790,40,".",".","."
791,40,".",".","."
792,40,".",".","."
793,40,".",".","."
794,40,".",".","."
795,40,".",".","."
796,40,".",".","."
797,40,".",".","."
798,40,".",".","."
799,40,".",".","."
800,40,".",".","."
801,41,"1. Paladins of the West Kingdom","1","Paladins of the West Kingdom"
802,41,"2. The Castles of Burgundy","2","The Castles of Burgundy"
803,41,"3. Everdell","3","Everdell"
804,41,"4. Ark Nova","4","Ark Nova"
805,41,"5. Wingspan","5","Wingspan"
806,41,"6. Cascadia","6","Cascadia"
807,41,"7. Lost Ruins of Arnak","7","Lost Ruins of Arnak"
808,41,"8. Sleeping Gods","8","Sleeping Gods"
809,41,"9. Botanik","9","Botanik"
810,41,"10. Viticulture Essential Edition","10","Viticulture Essential Edition"
811,41,"11. Splendor","11","Splendor"
812,41,"12. Cartographers","12","Cartographers"
813,41,"13. 7 Wonders Duel","13","7 Wonders Duel"
814,41,"14. Patchwork","14","Patchwork"
815,41,"15. Jaipur","15","Jaipur"
816,41,"16. Fantasy Realms","16","Fantasy Realms"
817,41,"17. Agricola: All Creatures Big and Small","17","Agricola: All Creatures Big and Small"
818,41,"18. Radlands","18","Radlands"
819,41,"19. Sail","19","Sail"
820,41,"20. Azul","20","Azul"
821,42,"1. Pandemic Legacy: Season 1","1","Pandemic Legacy: Season 1"
822,42,"2. Wingspan","2","Wingspan"
823,42,"3. Unlock","3","Unlock"
824,42,"4. Azul","4","Azul"
825,42,"5. Lost Cities","5","Lost Cities"
826,42,"6. Funfair","6","Funfair"
827,42,"7. Targi","7","Targi"
828,42,"8. Carcassonne","8","Carcassonne"
829,42,"9. Hanamikoji","9","Hanamikoji"
830,42,"10. Skulls of Sedlec","10","Skulls of Sedlec"
831,42,"11. Jaipur","11","Jaipur"
832,42,"12. MicroMacro: Crime City","12","MicroMacro: Crime City"
833,42,"13. Patchwork","13","Patchwork"
834,42,"14. Everdell","14","Everdell"
835,42,"15. Marvel Champions: The Card Game","15","Marvel Champions: The Card Game"
836,42,"16. Star Realms","16","Star Realms"
837,42,"17. Sagrada","17","Sagrada"
838,42,"18. Raiders of the North Sea","18","Raiders of the North Sea"
839,42,"19. Fox in the Forest","19","Fox in the Forest"
840,42,"20. Ticket to Ride","20","Ticket to Ride"
841,43,"1. Hive","1","Hive"
842,43,"2. Chess","2","Chess"
843,43,"3. Homeworlds","3","Homeworlds"
844,43,"4. Go","4","Go"
845,43,"5. Urbino","5","Urbino"
846,43,"6. Mindbug","6","Mindbug"
847,43,"7. Air, Land, & Sea","7","Air, Land, & Sea"
848,43,"8. Radlands","8","Radlands"
849,43,"9. Unmatched","9","Unmatched"
850,43,"10. Crokinole","10","Crokinole"
851,43,"11. Haggis","11","Haggis"
852,43,"12. Specter Ops","12","Specter Ops"
853,43,"13. Sekigahara","13","Sekigahara"
854,43,"14. Twilight Struggle","14","Twilight Struggle"
855,43,"15. Marvel Champions","15","Marvel Champions"
856,43,"16. Great Western Trail","16","Great Western Trail"
857,43,"17. Beyond the Sun","17","Beyond the Sun"
858,43,"18. Underwater Cities","18","Underwater Cities"
859,43,"19. Can't Stop","19","Can't Stop"
860,43,"20. Wavelength","20","Wavelength"
861,44,"1. Summoner Wars","1","Summoner Wars"
862,44,"2. Lands of Galzyr","2","Lands of Galzyr"
863,44,"3. Grand Austria Hotel","3","Grand Austria Hotel"
864,44,"4. Chronicles of Crime","4","Chronicles of Crime"
865,44,"5. Guild of Merchant Explorers","5","Guild of Merchant Explorers"
866,44,"6. Destinies","6","Destinies"
867,44,"7. Caper: Europe","7","Caper: Europe"
868,44,"8. Radlands","8","Radlands"
869,44,"9. Watergate","9","Watergate"
870,44,"10. Patchwork","10","Patchwork"
871,44,".",".","."
872,44,".",".","."
873,44,".",".","."
874,44,".",".","."
875,44,".",".","."
876,44,".",".","."
877,44,".",".","."
878,44,".",".","."
879,44,".",".","."
880,44,".",".","."
881,45,"1. The Castles of Burgundy","1","The Castles of Burgundy"
882,45,"2. Splendor","2","Splendor"
883,45,"3. Prêt-à-Porter","3","Prêt-à-Porter"
884,45,"4. Res Arcana","4","Res Arcana"
885,45,"5. Agricola","5","Agricola"
886,45,"6. Great Western Trail","6","Great Western Trail"
887,45,"7. Azul","7","Azul"
888,45,"8. Santorini","8","Santorini"
889,45,"9. Star Realms","9","Star Realms"
890,45,"10. Lost Cities","10","Lost Cities"
891,45,"11. War Chest","11","War Chest"
892,45,"12. 7 Wonders Duel","12","7 Wonders Duel"
893,45,"13. Clank!: A Deck-Building Adventure","13","Clank!: A Deck-Building Adventure"
894,45,"14. Kingdomino","14","Kingdomino"
895,45,"15. Trekking The National Parks","15","Trekking The National Parks"
896,45,"16. Everdell","16","Everdell"
897,45,"14. Welcome To...","14","Welcome To..."
898,45,"18. Space Base","18","Space Base"
899,45,"19. Machi Koro","19","Machi Koro"
900,45,"20. Terraforming Mars","20","Terraforming Mars"
901,46,"1. The Quest for El Dorado","1","The Quest for El Dorado"
902,46,"2. Ascension Tactics: Miniatures Deckbuilding Game","2","Ascension Tactics: Miniatures Deckbuilding Game"
903,46,"3. Mystic Vale","3","Mystic Vale"
904,46,"4. Space Base","4","Space Base"
905,46,"5. Challengers!","5","Challengers!"
906,46,"6. Tyrants of the Underdark","6","Tyrants of the Underdark"
907,46,"7. Thunderstone Quest","7","Thunderstone Quest"
908,46,"8. Shards of Infinity","8","Shards of Infinity"
909,46,"9. Lost Ruins of Arnak","9","Lost Ruins of Arnak"
910,46,"10. Wingspan","10","Wingspan"
911,46,"11. Dominion","11","Dominion"
912,46,"12. Everdell","12","Everdell"
913,46,"13. Nidavellir","13","Nidavellir"
914,46,"14. Edge of Darkness","14","Edge of Darkness"
915,46,"15. Crusaders: Thy Will Be Done","15","Crusaders: Thy Will Be Done"
916,46,"16. Sheepy Time","16","Sheepy Time"
917,46,"17. Enchanters: Overlords","17","Enchanters: Overlords"
918,46,"18. Clank!: A Deck-Building Adventure","18","Clank!: A Deck-Building Adventure"
919,46,"19. Jekyll vs. Hyde","19","Jekyll vs. Hyde"
920,46,"20. Century: Golem Edition","20","Century: Golem Edition"
921,47,"1. Patchwork","1","Patchwork"
922,47,"2. Yokohama","2","Yokohama"
923,47,"3. Targi","3","Targi"
924,47,"4. Le Havre","4","Le Havre"
925,47,"5. Galaxy Trucker","5","Galaxy Trucker"
926,47,"6. Azul","6","Azul"
927,47,"7. Agricola","7","Agricola"
928,47,"8. Caverna","8","Caverna"
929,47,"9. Tapestry","9","Tapestry"
930,47,"10. Chess","10","Chess"
931,47,"11. 7 Wonders Duel","11","7 Wonders Duel"
932,47,"12. Oros","12","Oros"
933,47,"13. A Feast for Odin","13","A Feast for Odin"
934,47,"14. Air, Land, & Sea","14","Air, Land, & Sea"
935,47,"15. Teotihuacan: City of Gods","15","Teotihuacan: City of Gods"
936,47,"16. Concordia","16","Concordia"
937,47,"17. Regicide","17","Regicide"
938,47,"18. Marrakech","18","Marrakech"
939,47,"19. Marvel United","19","Marvel United"
940,47,"20. Jaipur","20","Jaipur"
941,48,"1. Ark Nova","1","Ark Nova"
942,48,"2. Spots","2","Spots"
943,48,"3. Minigolf Designer","3","Minigolf Designer"
944,48,"4. Cape May","4","Cape May"
945,48,"5. Raiders of Scythia","5","Raiders of Scythia"
946,48,"6. Akropolis","6","Akropolis"
947,48,"7. PARKS","7","PARKS"
948,48,"8. Skulls of Sedlec","8","Skulls of Sedlec"
949,48,"9. Gartenbau","9","Gartenbau"
950,48,"10. Railroad Ink","10","Railroad Ink"
951,48,"11. Space Explorers","11","Space Explorers"
952,48,"12. Welcome to the Moon","12","Welcome to the Moon"
953,48,"13. Dog Lover","13","Dog Lover"
954,48,"14. Res Arcana","14","Res Arcana"
955,48,"15. Splendor Duel","15","Splendor Duel"
956,48,"16. My City","16","My City"
957,48,"17. Cartographers","17","Cartographers"
958,48,"18. Honshu","18","Honshu"
959,48,"19. Red Cathedral","19","Red Cathedral"
960,48,"20. Llamaland","20","Llamaland"
961,49,"1. Imperial Struggle","1","Imperial Struggle"
962,49,"2. Point Blank","2","Point Blank"
963,49,"3. Res Arcana","3","Res Arcana"
964,49,"4. Fields of Arle","4","Fields of Arle"
965,49,"5. Asante","5","Asante"
966,49,"6. Seasons","6","Seasons"
967,49,"7. Race for the Galaxy","7","Race for the Galaxy"
968,49,"8. Lord of the Rings LCG","8","Lord of the Rings LCG"
969,49,"9. Hive","9","Hive"
970,49,"10. Grand Austria Hotel","10","Grand Austria Hotel"
971,49,"11. Kingdomino","11","Kingdomino"
972,49,"12. Radlands","12","Radlands"
973,49,"13. War of the Ring","13","War of the Ring"
974,49,"14. The British Way","14","The British Way"
975,49,"15. Android: Netrunner","15","Android: Netrunner"
976,49,"16. Cthulhu Wars Duel","16","Cthulhu Wars Duel"
977,49,"17. Dominion","17","Dominion"
978,49,"18. Undaunted","18","Undaunted"
979,49,"19. Lost Cities","19","Lost Cities"
980,49,"20. Spirit Island","20","Spirit Island"
981,50,"1. Terraforming Mars","1","Terraforming Mars"
982,50,"2. Everdell","2","Everdell"
983,50,"3. Concordia","3","Concordia"
984,50,"4. Ark Nova","4","Ark Nova"
985,50,"5. Raiders of the North Sea","5","Raiders of the North Sea"
986,50,"6. Viticulture Essential Edition","6","Viticulture Essential Edition"
987,50,"7. Pandemic","7","Pandemic"
988,50,"8. Wingspan","8","Wingspan"
989,50,"9. Onitama","9","Onitama"
990,50,"10. Yinsh","10","Yinsh"
991,50,"11. Space Base","11","Space Base"
992,50,".",".","."
993,50,".",".","."
994,50,".",".","."
995,50,".",".","."
996,50,".",".","."
997,50,".",".","."
998,50,".",".","."
999,50,".",".","."
1000,50,".",".","."
1001,51,"1. The Lord of the Rings The Card Game","1","The Lord of the Rings The Card Game"
1002,51,"2. Le Havre","2","Le Havre"
1003,51,"3. Ticket to Ride","3","Ticket to Ride"
1004,51,"4. Raiders of Scythia","4","Raiders of Scythia"
1005,51,"5. Dominion","5","Dominion"
1006,51,"6. Targi","6","Targi"
1007,51,"7. Railways of the World","7","Railways of the World"
1008,51,"8. Scythe","8","Scythe"
1009,51,"9. Caverna: The Cave Farmers","9","Caverna: The Cave Farmers"
1010,51,"10. Hive","10","Hive"
1011,51,"11. Orléans","11","Orléans"
1012,51,"12. Pathfinder Adventure Card Game Rise of the Runelords","12","Pathfinder Adventure Card Game Rise of the Runelords"
1013,51,"13. Viticulture Essential Edition","13","Viticulture Essential Edition"
1014,51,"14. Trains","14","Trains"
1015,51,"15. Belfort","15","Belfort"
1016,51,"16. Carcassonne","16","Carcassonne"
1017,51,"17. Brass Birmingham","17","Brass Birmingham"
1018,51,"18. Starship Catan","18","Starship Catan"
1019,51,"19. Monster Fluxx","19","Monster Fluxx"
1020,51,"20. Magic: The Gathering","20","Magic: The Gathering"
1021,52,"1. Res Arcana","1","Res Arcana"
1022,52,"2. Unmatched","2","Unmatched"
1023,52,"3. Illimat","3","Illimat"
1024,52,"4. Lotus","4","Lotus"
1025,52,"5. Ankh: Gods of Egypt","5","Ankh: Gods of Egypt"
1026,52,"6. Caesar!: Seize Rome","6","Caesar!: Seize Rome"
1027,52,"7. Epic Spell Wars of the Battle Wizards: Annihilageddon 2 – Xtreme Nacho Legends","7","Epic Spell Wars of the Battle Wizards: Annihilageddon 2 – Xtreme Nacho Legends"
1028,52,"8. Galaxy Trucker (2nd Edition)","8","Galaxy Trucker (2nd Edition)"
1029,52,"9. Tile Chess","9","Tile Chess"
1030,52,"10. Terraforming Mars: Ares Expedition","10","Terraforming Mars: Ares Expedition"
1031,52,"11. Chase","11","Chase"
1032,52,"12. War Chest","12","War Chest"
1033,52,"13. Haven","13","Haven"
1034,52,"14. Santorini","14","Santorini"
1035,52,"15. Focus","15","Focus"
1036,52,"16. Kingdom Builder","16","Kingdom Builder"
1037,52,"17. Kingdomino","17","Kingdomino"
1038,52,"18. Lost Cities","18","Lost Cities"
1039,52,"19. Monochrome Chess","19","Monochrome Chess"
1040,52,"20. Tyrants of the Underdark","20","Tyrants of the Underdark"
1041,53,"1. Ivion: The Herocrafting Card Game","1","Ivion: The Herocrafting Card Game"
1042,53,"2. Android: Netrunner","2","Android: Netrunner"
1043,53,"3. Arkham Horror: The Card Game","3","Arkham Horror: The Card Game"
1044,53,"4. Gloomhaven","4","Gloomhaven"
1045,53,"5. Unmatched","5","Unmatched"
1046,53,"6. Pagan","6","Pagan"
1047,53,"7. Eldritch Horror","7","Eldritch Horror"
1048,53,"8. Summoner Wars","8","Summoner Wars"
1049,53,"9. Coral","9","Coral"
1050,53,"10. Radlands","10","Radlands"
1051,53,"11. 300: Earth & Water","11","300: Earth & Water"
1052,53,"12. Marvel Champions: The Card Game","12","Marvel Champions: The Card Game"
1053,53,"13. Star Wars X-Wing","13","Star Wars X-Wing"
1054,53,"14. Undaunted","14","Undaunted"
1055,53,".",".","."
1056,53,".",".","."
1057,53,".",".","."
1058,53,".",".","."
1059,53,".",".","."
1060,53,".",".","."
1061,54,"1. Schotten Totten","1","Schotten Totten"
1062,54,"2. Carcassonne","2","Carcassonne"
1063,54,"3. Kingdom Builder","3","Kingdom Builder"
1064,54,"4. Fugitive","4","Fugitive"
1065,54,"5. The Quest for El Dorado","5","The Quest for El Dorado"
1066,54,"6. Barony","6","Barony"
1067,54,"7. Biblios","7","Biblios"
1068,54,"8. The Crew: Mission Deep Sea","8","The Crew: Mission Deep Sea"
1069,54,"9. Rummikub","9","Rummikub"
1070,54,"10. Orongo","10","Orongo"
1071,54,"11. Tobago","11","Tobago"
1072,54,"12. So Clover","12","So Clover"
1073,54,"13. Coloretto","13","Coloretto"
1074,54,"14. Katzenjammer Blues","14","Katzenjammer Blues"
1075,54,"15. Kluster","15","Kluster"
1076,54,"16. Rumble Nation","16","Rumble Nation"
1077,54,"17. Kulami","17","Kulami"
1078,54,"18. Ticket to Ride: Nordic Countries","18","Ticket to Ride: Nordic Countries"
1079,54,"19. Jaipur","19","Jaipur"
1080,54,"20. Samurai","20","Samurai"
1081,55,"1. War of the Ring: Second Edition","1","War of the Ring: Second Edition"
1082,55,"2. Twilight Struggle","2","Twilight Struggle"
1083,55,"3. Le Havre","3","Le Havre"
1084,55,"4. Fields of Arle","4","Fields of Arle"
1085,55,"5. Puerto Rico","5","Puerto Rico"
1086,55,"6. Paladins of the West Kingdom","6","Paladins of the West Kingdom"
1087,55,"7. Ark Nova","7","Ark Nova"
1088,55,"8. Android: Netrunner","8","Android: Netrunner"
1089,55,"9. 7 Wonders Duel","9","7 Wonders Duel"
1090,55,"10. Beer & Bread","10","Beer & Bread"
1091,55,".",".","."
1092,55,".",".","."
1093,55,".",".","."
1094,55,".",".","."
1095,55,".",".","."
1096,55,".",".","."
1097,55,".",".","."
1098,55,".",".","."
1099,55,".",".","."
1100,55,".",".","."
1101,56,"1. Aeon's End","1","Aeon's End"
1102,56,"2. Codenames: Duet","2","Codenames: Duet"
1103,56,"3. Race for the Galaxy","3","Race for the Galaxy"
1104,56,"4. Dominion","4","Dominion"
1105,56,"5. Marvel United","5","Marvel United"
1106,56,"6. The Lord of the Rings: Journeys on Middle-Earth","6","The Lord of the Rings: Journeys on Middle-Earth"
1107,56,"7. Sagrada","7","Sagrada"
1108,56,"8. Among the Stars","8","Among the Stars"
1109,56,"9. The Castles of Burgundy","9","The Castles of Burgundy"
1110,56,"10. Noctiluca","10","Noctiluca"
1111,56,"11. The Lord of the Rings: Card Game","11","The Lord of the Rings: Card Game"
1112,56,"12. Cacao","12","Cacao"
1113,56,"13. Roll Player","13","Roll Player"
1114,56,"14. Welcome To...","14","Welcome To..."
1115,56,"15. Res Arcana","15","Res Arcana"
1116,56,"16. Cross Clues","16","Cross Clues"
1117,56,"17. Claim","17","Claim"
1118,56,"18. Hadara","18","Hadara"
1119,56,"19. Karuba","19","Karuba"
1120,56,"20. Caverna: The Cave Farmers","20","Caverna: The Cave Farmers"
1121,57,"1. The Castles of Burgundy","1","The Castles of Burgundy"
1122,57,"2. Race for the Galaxy","2","Race for the Galaxy"
1123,57,"3. Terraforming Mars","3","Terraforming Mars"
