uid,id,source,rank,game
132,7,"12. Quantum","12","Quantum"
133,7,"13. Radlands","13","Radlands"
134,7,"14. Biblios","14","Biblios"
135,7,"15. The Castles of Burgundy","15","The Castles of Burgundy"
136,7,"16. Forbidden Desert","16","Forbidden Desert"
137,7,"17. Babylonia","17","Babylonia"
138,7,"18. Santorini","18","Santorini"
139,7,"19. Love Letter","19","Love Letter"
140,7,"20. Lanterns: The Harvest Festival","20","Lanterns: The Harvest Festival"
141,8,"1. Cascadia","1","Cascadia"
142,8,"2. Welcome To...","2","Welcome To..."
143,8,"3. Wingspan","3","Wingspan"
144,8,"4. 7 Wonders Duel","4","7 Wonders Duel"
145,8,"5. The Quacks of Quedlinburg","5","The Quacks of Quedlinburg"
146,8,"6. The Isle of Cats","6","The Isle of Cats"
147,8,"7. Fire Tower","7","Fire Tower"
148,8,"8. Sagrada","8","Sagrada"
149,8,"9. Azul","9","Azul"
150,8,"10. Pandemic Legacy: Season 1","10","Pandemic Legacy: Season 1"
151,8,"11. Clank!: A Deck-Building Adventure","11","Clank!: A Deck-Building Adventure"
152,8,"12. The Castles of Burgundy","12","The Castles of Burgundy"
153,8,"13. Viticulture Essential Edition","13","Viticulture Essential Edition"
154,8,"14. Terraforming Mars","14","Terraforming Mars"
155,8,"15. Carcassonne","15","Carcassonne"
156,8,"16. Kingdomino","16","Kingdomino"
157,8,"17. Splendor Duel","17","Splendor Duel"
158,8,"18. Lost Cities","18","Lost Cities"
159,8,"19. Earth","19","Earth"
160,8,"20. Dwellings of Eldervale","20","Dwellings of Eldervale"
161,9,"1. Race for the Galaxy","1","Race for the Galaxy"
162,9,"2. Underwater Cities","2","Underwater Cities"
163,9,"3. Dorfromantik","3","Dorfromantik"
164,9,"4. Maracaibo","4","Maracaibo"
165,9,"5. Grand Austria Hotel","5","Grand Austria Hotel"
166,9,"6. boop","6","boop"
167,9,"7. Splendor Duel","7","Splendor Duel"
168,9,"8. 7 Wonders Duel","8","7 Wonders Duel"
169,9,"9. Star Realms","9","Star Realms"
170,9,"10. Go","10","Go"
171,9,"11. Yinsh","11","Yinsh"
172,9,"12. Hive","12","Hive"
173,9,"13. Targi","13","Targi"
174,9,"14. Patchwork","14","Patchwork"
175,9,"15. Fjords","15","Fjords"
176,9,"16. Jaipur","16","Jaipur"
177,9,"17. Onitama","17","Onitama"
